list_name,name,label,region
choices_name_primary_cooperative,Lemlem Abnet,Lemlem Abnet,1
choices_name_primary_cooperative,Lemlem Simret,Lemlem Simret,1
choices_name_primary_cooperative,Tirhas Dela,Tirhas Dela,1
choices_name_primary_cooperative,Genet Telema,Genet Telema,1
choices_name_primary_cooperative,Hawelti Chelena,Hawelti Chelena,1
choices_name_primary_cooperative,Genet Kilma,Genet Kilma,1
choices_name_primary_cooperative,Tiblets Mebel,Tiblets Mebel,1
choices_name_primary_cooperative,Ayebar,Ayebar,3
choices_name_primary_cooperative,Goyiba,Goyiba,3
choices_name_primary_cooperative,Sede,Sede,3
choices_name_primary_cooperative,Zelalem desta,Zelalem desta,3
choices_name_primary_cooperative,Afkera,Afkera,3
choices_name_primary_cooperative,Sereke birhan,Sereke birhan,3
choices_name_primary_cooperative,Sheme,Sheme,3
choices_name_primary_cooperative,Aroge dber,Aroge dber,3
choices_name_primary_cooperative,Woyen wuha,Woyen wuha,3
choices_name_primary_cooperative,Felege hiberet,Felege hiberet,3
choices_name_primary_cooperative,Gena memecha,Gena memecha,3
choices_name_primary_cooperative,Kelit ameba,Kelit ameba,3
choices_name_primary_cooperative,Korebeta-amanuel,Korebeta-amanuel,3
choices_name_primary_cooperative,Embuli,Embuli,3
choices_name_primary_cooperative,Shelel,Shelel,3
choices_name_primary_cooperative,Yewula,Yewula,3
choices_name_primary_cooperative,Belemina,Belemina,3
choices_name_primary_cooperative,Dega segene,Dega segene,3
choices_name_primary_cooperative,Temamage,Temamage,3
choices_name_primary_cooperative,Ameseg,Ameseg,3
choices_name_primary_cooperative,Galat shafo,Galat shafo,3
choices_name_primary_cooperative,Gadaye,Gadaye,3
choices_name_primary_cooperative,Kerer emeneba,Kerer emeneba,3
choices_name_primary_cooperative,Dingay ber,Dingay ber,3
choices_name_primary_cooperative,Mergechi,Mergechi,3
choices_name_primary_cooperative,Denbe,Denbe,3
choices_name_primary_cooperative,Gebsit,Gebsit,3
choices_name_primary_cooperative,Gedayasu,Gedayasu,3
